user_id,first_name,last_name,email,age,country,signup_date
1,Arpan,Sharma,arpan@sox.in,21,India,2025-01-15
2,Sneha,Kaur,sneha@sox.in,22,India,2025-02-20
3,Rohit,Verma,rohit@sox.in,23,USA,2025-03-10
4,Priya,Singh,priya@sox.in,21,India,2025-04-05
5,Amit,Patel,amit@sox.in,24,India,2025-05-12
6,Ananya,Gupta,ananya@sox.in,22,India,2025-05-18
7,Karan,Reddy,karan@sox.in,23,Canada,2025-05-25
8,Meera,Jain,meera@sox.in,21,India,2025-06-01
9,Rajesh,Shah,rajesh@sox.in,24,India,2025-06-08
10,Sana,Kapoor,sana@sox.in,22,Australia,2025-06-15
11,Aditya,Mishra,aditya@sox.in,23,India,2025-06-22
12,Divya,Banerjee,divya@sox.in,21,India,2025-06-29
13,Vikram,Chopra,vikram@sox.in,24,India,2025-07-06
14,Neha,Desai,neha@sox.in,22,UK,2025-07-13
15,Rahul,Gupta,rahul@sox.in,23,India,2025-07-20
16,Shruti,Mehta,shruti@sox.in,21,India,2025-07-27
17,Ankit,Joshi,ankit@sox.in,24,Germany,2025-08-03
18,Parul,Sharma,parul@sox.in,22,India,2025-08-10
19,Manish,Khan,manish@sox.in,23,India,2025-08-17
20,Isha,Patel,isha@sox.in,21,India,2025-08-24
21,Nikhil,Singh,nikhil@sox.in,24,India,2025-08-31
22,Simran,Verma,simran@sox.in,22,India,2025-09-07
23,Rahul,Kaur,rahulk@sox.in,23,India,2025-09-14
24,Ashwini,Reddy,ashwini@sox.in,21,India,2025-09-21
25,Vishal,Jain,vishal@sox.in,24,France,2025-09-28
26,Pooja,Shah,pooja@sox.in,22,India,2025-10-05
27,Anurag,Kapoor,anurag@sox.in,23,India,2025-10-12
28,Kritika,Mishra,kritika@sox.in,21,India,2025-10-19
29,Sumit,Banerjee,sumit@sox.in,24,India,2025-10-26
30,Riya,Chopra,riya@sox.in,22,India,2025-11-02
31,Harsh,Desai,harsh@sox.in,23,India,2025-11-09
32,Megha,Gupta,megha@sox.in,21,India,2025-11-16
33,Rohan,Khan,rohan@sox.in,24,India,2025-11-23
34,Aanya,Patel,aanya@sox.in,22,India,2025-11-30
35,Tanmay,Singh,tanmay@sox.in,23,India,2025-12-07
36,Swati,Verma,swati@sox.in,21,India,2025-12-14
37,Raj,Kaur,raj@sox.in,24,India,2025-12-21
38,Neeraj,Reddy,neeraj@sox.in,22,India,2025-12-28
39,Shreya,Jain,shreya@sox.in,23,Italy,2026-01-04
40,Anil,Shah,anil@sox.in,21,India,2026-01-11
41,Priyanka,Kapoor,priyanka@sox.in,24,India,2026-01-18
42,Akash,Mishra,akash@sox.in,22,India,2026-01-25
43,Varsha,Banerjee,varsha@sox.in,23,India,2026-02-01
44,Karan,Chopra,karanchopra@sox.in,21,India,2026-02-08
45,Rekha,Desai,rekha@sox.in,24,India,2026-02-15
46,Aditya,Gupta,adityagupta@sox.in,22,India,2026-02-22
47,Simran,Khan,simrankhan@sox.in,23,India,2026-03-01
48,Devika,Patel,devika@sox.in,21,India,2026-03-08
49,Mayank,Singh,mayank@sox.in,24,India,2026-03-15
50,Sneha,Verma,snehaverma@sox.in,22,Spain,2026-03-22
